time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
100.8815,36.52,0,22,0,240,0
100.8828,36.52,0,22,0,240,0
100.884,36.52,0,22,0,240,0
100.8851,36.52,0,22,0,240,0
100.8862,36.52,0,22,0,240,0
100.8874,36.52,0,22,0,240,0
100.8886,36.52,0,22,0,240,0
100.8897,36.52,0,22,0,240,0
100.8912,36.52,0,22,0,240,0
100.8924,36.52,0,22,0,240,0
100.8936,36.52,0,22,0,240,0
100.8947,36.52,0,22,0,240,0
100.8959,36.52,0,22,0,240,0
100.897,36.52,0,22,0,240,0
100.8983,36.52,0,22,0,240,0
100.8994,36.52,0,22,0,240,0
100.9006,36.52,0,22,0,240,0
100.9019,36.52,0,22,0,240,0
100.903,36.52,0,22,0,240,0
100.904,36.52,0,22,0,240,0
100.9051,36.52,0,22,0,240,0
100.9062,36.52,0,22,0,240,0
100.9073,36.52,0,22,0,240,0
100.9084,36.52,0,22,0,240,0
100.9095,36.52,0,22,0,240,0
100.9107,36.52,0,22,0,240,0
100.9118,36.52,0,22,0,240,0
100.9129,36.52,0,22,0,240,0
100.9139,36.52,0,22,0,240,0
100.915,36.52,0,22,0,240,0
100.9161,36.52,0,22,0,240,0
100.9172,36.52,0,22,0,240,0
100.9182,36.52,0,22,0,240,0
100.9193,36.52,0,22,0,240,0
100.9204,36.52,0,22,0,240,0
100.9216,36.52,0,22,0,240,0
100.9227,36.52,0,22,0,240,0
100.9239,36.52,0,22,0,240,0
100.925,36.52,0,22,0,240,0
100.9261,36.52,0,22,0,240,0
100.9272,36.52,0,22,0,240,0
100.9282,36.52,0,22,0,240,0
100.9294,36.52,0,22,0,240,0
100.9306,36.52,0,22,0,240,0
100.9318,36.52,0,22,0,240,0
100.933,36.52,0,22,0,240,0
100.934,36.52,0,22,0,240,0
100.9352,36.52,0,22,0,240,0
100.9363,36.52,0,22,0,240,0
100.9375,36.52,0,22,0,240,0
100.9386,36.52,0,22,0,240,0
100.9397,36.52,0,22,0,240,0
100.941,36.52,0,22,0,240,0
100.9424,36.52,0,22,0,240,0
100.9435,36.52,0,22,0,240,0
100.9447,36.52,0,22,0,240,0
100.9459,36.52,0,22,0,240,0
100.9471,36.52,0,22,0,240,0
100.9481,36.52,0,22,0,240,0
100.9493,36.52,0,22,0,240,0
100.9504,36.52,0,22,0,240,0
100.9516,36.52,0,22,0,240,0
100.9528,36.52,0,22,0,240,0
100.954,36.52,0,22,0,240,0
100.9552,36.52,0,22,0,240,0
100.9564,36.52,0,22,0,240,0
100.9576,36.52,0,22,0,240,0
100.9587,36.52,0,22,0,240,0
100.9599,36.52,0,22,0,240,0
100.961,36.52,0,22,0,240,0
100.9624,36.52,0,22,0,240,0
100.9635,36.52,0,22,0,240,0
100.9645,36.52,0,22,0,240,0
100.9656,36.52,0,22,0,240,0
100.9667,36.52,0,22,0,240,0
100.9677,36.52,0,22,0,240,0
100.9687,36.52,0,22,0,240,0
100.9698,36.52,0,22,0,240,0
100.9709,36.52,0,22,0,240,0
100.972,36.52,0,22,0,240,0
100.9731,36.52,0,22,0,240,0
100.9742,36.52,0,22,0,240,0
100.9753,36.52,0,22,0,240,0
100.9763,36.52,0,22,0,240,0
100.9774,36.52,0,22,0,240,0
100.9785,36.52,0,22,0,240,0
100.9795,36.52,0,22,0,240,0
100.9807,36.52,0,22,0,240,0
100.982,36.52,0,22,0,240,0
100.9831,36.52,0,22,0,240,0
100.9843,36.52,0,22,0,240,0
100.9855,36.52,0,22,0,240,0
100.9867,36.52,0,22,0,240,0
100.9878,36.52,0,22,0,240,0
100.9889,36.52,0,22,0,240,0
100.9902,36.52,0,22,0,240,0
100.9916,36.52,0,22,0,240,0
100.9927,36.52,0,22,0,240,0
100.994,36.52,0,22,0,240,0
100.9951,36.52,0,22,0,240,0
100.9963,36.52,0,22,0,240,0
100.9974,36.52,0,22,0,240,0
100.9986,36.52,0,22,0,240,0
100.9998,36.52,0,22,0,240,0
101.0009,36.52,0,22,0,240,0
101.0022,36.52,0,22,0,240,0
101.0033,36.52,0,22,0,240,0
101.0045,36.52,0,22,0,240,0
101.0057,36.52,0,22,0,240,0
101.0075,36.52,0,22,0,240,0
101.0087,36.52,0,22,0,240,0
101.0097,36.52,0,22,0,240,0
101.0108,36.52,0,22,0,240,0
101.0119,36.52,0,22,0,240,0
101.013,36.52,0,22,0,240,0
101.0141,36.52,0,22,0,240,0
101.0152,36.52,0,22,0,240,0
101.0164,36.52,0,22,0,240,0
101.0176,36.52,0,22,0,240,0
101.0188,36.52,0,22,0,240,0
101.02,36.52,0,22,0,240,0
101.0214,36.52,0,22,0,240,0
101.0225,36.52,0,22,0,240,0
101.024,36.52,0,22,0,240,0
101.0251,36.52,0,22,0,240,0
101.0262,36.52,0,22,0,240,0
101.0274,36.52,0,22,0,240,0
101.0286,36.52,0,22,0,240,0
101.0297,36.52,0,22,0,240,0
101.0309,36.52,0,22,0,240,0
101.032,36.52,0,22,0,240,0
101.0332,36.52,0,22,0,240,0
101.0344,36.52,0,22,0,240,0
101.0355,36.52,0,22,0,240,0
