time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
132.8209,36.52,0,22,0,240,0
132.8223,36.52,0,22,0,240,0
132.8234,36.52,0,22,0,240,0
132.8245,36.52,0,22,0,240,0
132.8255,36.52,0,22,0,240,0
132.8265,36.52,0,22,0,240,0
132.8275,36.52,0,22,0,240,0
132.8286,36.52,0,22,0,240,0
132.8297,36.52,0,22,0,240,0
132.8308,36.52,0,22,0,240,0
132.832,36.52,0,22,0,240,0
132.8331,36.52,0,22,0,240,0
132.8343,36.52,0,22,0,240,0
132.8354,36.52,0,22,0,240,0
132.8365,36.52,0,22,0,240,0
132.8376,36.52,0,22,0,240,0
132.8387,36.52,0,22,0,240,0
132.8398,36.52,0,22,0,240,0
132.8409,36.34679,0,21.9,0,240,0
132.8422,36.34679,0,21.9,0,240,0
132.8433,36.34679,0,21.9,0,240,0
132.8445,36.34679,0,21.9,0,240,0
132.8458,36.34679,0,21.9,0,240,0
132.8471,36.34679,0,21.9,0,240,0
132.8484,36.34679,0,21.9,0,240,0
132.8497,36.34679,0,21.9,0,240,0
132.8507,36.34679,0,21.9,0,240,0
132.8518,36.34679,0,21.9,0,240,0
132.8529,36.34679,0,21.9,0,240,0
132.854,36.34679,0,21.9,0,240,0
132.8551,36.34679,0,21.9,0,240,0
132.8563,36.34679,0,21.9,0,240,0
132.8574,36.34679,0,21.9,0,240,0
132.8585,36.34679,0,21.9,0,240,0
132.8597,36.34679,0,21.9,0,240,0
132.8607,36.17359,0,21.8,0,240,0
132.8627,36.17359,0,21.8,0,240,0
132.8639,36.17359,0,21.8,0,240,0
132.8651,36.17359,0,21.8,0,240,0
132.8662,36.17359,0,21.8,0,240,0
132.8673,36.17359,0,21.8,0,240,0
132.8684,36.17359,0,21.8,0,240,0
132.8695,36.17359,0,21.8,0,240,0
132.8707,36.17359,0,21.8,0,240,0
132.8718,36.17359,0,21.8,0,240,0
132.8729,36.17359,0,21.8,0,240,0
132.8741,36.17359,0,21.8,0,240,0
132.8752,36.17359,0,21.8,0,240,0
132.8763,36.17359,0,21.8,0,240,0
132.8773,36.17359,0,21.8,0,240,0
132.8784,36.17359,0,21.8,0,240,0
132.8797,36.17359,0,21.8,0,240,0
132.8808,36.00039,0,21.7,0,240,0
132.8821,36.00039,0,21.7,0,240,0
132.8832,36.00039,0,21.7,0,240,0
132.8842,36.00039,0,21.7,0,240,0
132.8853,36.00039,0,21.7,0,240,0
132.8863,36.00039,0,21.7,0,240,0
132.8876,36.00039,0,21.7,0,240,0
132.8886,36.00039,0,21.7,0,240,0
132.8897,36.00039,0,21.7,0,240,0
132.8907,36.00039,0,21.7,0,240,0
132.8918,36.00039,0,21.7,0,240,0
132.8935,36.00039,0,21.7,0,240,0
132.8946,36.00039,0,21.7,0,240,0
132.8958,36.00039,0,21.7,0,240,0
132.897,36.00039,0,21.7,0,240,0
132.8982,36.00039,0,21.7,0,240,0
132.8994,36.00039,0,21.7,0,240,0
132.9005,35.82718,0,21.6,0,240,0
132.902,35.82718,0,21.6,0,240,0
132.9032,35.82718,0,21.6,0,240,0
132.9043,35.82718,0,21.6,0,240,0
132.9056,35.82718,0,21.6,0,240,0
132.9066,35.82718,0,21.6,0,240,0
132.9078,35.82718,0,21.6,0,240,0
132.9089,35.82718,0,21.6,0,240,0
132.91,35.82718,0,21.6,0,240,0
132.9111,35.82718,0,21.6,0,240,0
132.9121,35.82718,0,21.6,0,240,0
132.9131,35.82718,0,21.6,0,240,0
132.9144,35.82718,0,21.6,0,240,0
132.9156,35.82718,0,21.6,0,240,0
132.9167,35.82718,0,21.6,0,240,0
132.9178,35.82718,0,21.6,0,240,0
132.9189,35.82718,0,21.6,0,240,0
132.92,35.65398,0,21.5,0,240,0
132.9215,35.65398,0,21.5,0,240,0
132.9226,35.65398,0,21.5,0,240,0
132.9243,35.65398,0,21.5,0,240,0
132.9254,35.65398,0,21.5,0,240,0
132.9266,35.65398,0,21.5,0,240,0
132.9277,35.65398,0,21.5,0,240,0
132.9288,35.65398,0,21.5,0,240,0
132.93,35.65398,0,21.5,0,240,0
132.9313,35.65398,0,21.5,0,240,0
132.9326,35.65398,0,21.5,0,240,0
132.9337,35.65398,0,21.5,0,240,0
132.9348,35.65398,0,21.5,0,240,0
132.9359,35.65398,0,21.5,0,240,0
132.9371,35.65398,0,21.5,0,240,0
132.9383,35.65398,0,21.5,0,240,0
132.9394,35.65398,0,21.5,0,240,0
132.9407,35.48077,0,21.4,0,240,0
132.9469,35.48077,0,21.4,0,240,0
132.948,35.48077,0,21.4,0,240,0
132.9491,35.48077,0,21.4,0,240,0
132.9503,35.48077,0,21.4,0,240,0
132.9515,35.48077,0,21.4,0,240,0
132.9526,35.48077,0,21.4,0,240,0
132.9538,35.48077,0,21.4,0,240,0
132.9557,35.48077,0,21.4,0,240,0
132.9567,35.48077,0,21.4,0,240,0
132.9579,35.48077,0,21.4,0,240,0
132.9591,35.48077,0,21.4,0,240,0
132.9603,35.30756,0,21.3,0,240,0
132.9616,35.30756,0,21.3,0,240,0
132.963,35.30756,0,21.3,0,240,0
132.964,35.30756,0,21.3,0,240,0
132.9652,35.30756,0,21.3,0,240,0
132.9664,35.30756,0,21.3,0,240,0
132.9675,35.30756,0,21.3,0,240,0
132.9685,35.30756,0,21.3,0,240,0
132.9696,35.30756,0,21.3,0,240,0
132.9707,35.30756,0,21.3,0,240,0
132.9719,35.30756,0,21.3,0,240,0
132.9729,35.30756,0,21.3,0,240,0
132.974,35.30756,0,21.3,0,240,0
132.975,35.30756,0,21.3,0,240,0
132.9762,35.30756,0,21.3,0,240,0
132.9773,35.30756,0,21.3,0,240,0
132.9783,35.30756,0,21.3,0,240,0
132.9794,35.30756,0,21.3,0,240,0
132.9805,35.13436,0,21.2,0,240,0
132.9821,35.13436,0,21.2,0,240,0
132.9832,35.13436,0,21.2,0,240,0
132.9846,35.13436,0,21.2,0,240,0
132.9864,35.13436,0,21.2,0,240,0
132.9876,35.13436,0,21.2,0,240,0
132.9887,35.13436,0,21.2,0,240,0
132.9899,35.13436,0,21.2,0,240,0
132.9912,35.13436,0,21.2,0,240,0
132.9923,35.13436,0,21.2,0,240,0
132.9933,35.13436,0,21.2,0,240,0
132.9944,35.13436,0,21.2,0,240,0
132.9956,35.13436,0,21.2,0,240,0
132.997,35.13436,0,21.2,0,240,0
132.998,35.13436,0,21.2,0,240,0
132.9991,35.13436,0,21.2,0,240,0
133.0004,34.96115,0,21.1,0,240,0
133.0018,34.96115,0,21.1,0,240,0
133.0029,34.96115,0,21.1,0,240,0
133.0039,34.96115,0,21.1,0,240,0
133.0051,34.96115,0,21.1,0,240,0
133.0062,34.96115,0,21.1,0,240,0
133.0074,34.96115,0,21.1,0,240,0
133.0084,34.96115,0,21.1,0,240,0
133.0094,34.96115,0,21.1,0,240,0
133.0106,34.96115,0,21.1,0,240,0
133.0117,34.96115,0,21.1,0,240,0
133.0129,34.96115,0,21.1,0,240,0
133.0142,34.96115,0,21.1,0,240,0
133.0155,34.96115,0,21.1,0,240,0
133.0171,34.96115,0,21.1,0,240,0
133.0182,34.96115,0,21.1,0,240,0
133.0195,34.96115,0,21.1,0,240,0
133.0206,34.78795,0,21,0,240,0
133.022,34.78795,0,21,0,240,0
133.023,34.78795,0,21,0,240,0
133.0242,34.78795,0,21,0,240,0
133.0254,34.78795,0,21,0,240,0
133.0265,34.78795,0,21,0,240,0
133.0275,34.78795,0,21,0,240,0
133.0286,34.78795,0,21,0,240,0
133.03,34.78795,0,21,0,240,0
133.0311,34.78795,0,21,0,240,0
133.0323,34.78795,0,21,0,240,0
133.0334,34.78795,0,21,0,240,0
133.0345,34.78795,0,21,0,240,0
133.0356,34.78795,0,21,0,240,0
133.0367,34.78795,0,21,0,240,0
133.0378,34.78795,0,21,0,240,0
133.039,34.78795,0,21,0,240,0
133.0401,34.61475,0,20.9,0,240,0
133.0415,34.61475,0,20.9,0,240,0
133.0426,34.61475,0,20.9,0,240,0
133.0437,34.61475,0,20.9,0,240,0
133.0449,34.61475,0,20.9,0,240,0
133.0461,34.61475,0,20.9,0,240,0
133.0478,34.61475,0,20.9,0,240,0
133.0489,34.61475,0,20.9,0,240,0
133.0501,34.61475,0,20.9,0,240,0
133.0513,34.61475,0,20.9,0,240,0
133.0524,34.61475,0,20.9,0,240,0
133.0536,34.61475,0,20.9,0,240,0
133.0548,34.61475,0,20.9,0,240,0
133.0559,34.61475,0,20.9,0,240,0
133.0571,34.61475,0,20.9,0,240,0
133.0583,34.61475,0,20.9,0,240,0
133.0594,34.61475,0,20.9,0,240,0
133.0605,34.44154,0,20.8,0,240,0
133.0618,34.44154,0,20.8,0,240,0
133.0633,34.44154,0,20.8,0,240,0
133.0646,34.44154,0,20.8,0,240,0
133.0659,34.44154,0,20.8,0,240,0
133.0669,34.44154,0,20.8,0,240,0
133.068,34.44154,0,20.8,0,240,0
133.0692,34.44154,0,20.8,0,240,0
133.0703,34.44154,0,20.8,0,240,0
133.0715,34.44154,0,20.8,0,240,0
133.0725,34.44154,0,20.8,0,240,0
133.0736,34.44154,0,20.8,0,240,0
133.0748,34.44154,0,20.8,0,240,0
133.076,34.44154,0,20.8,0,240,0
133.0772,34.44154,0,20.8,0,240,0
133.0783,34.44154,0,20.8,0,240,0
133.0796,34.44154,0,20.8,0,240,0
133.0811,34.26834,0,20.7,0,240,0
133.0825,34.26834,0,20.7,0,240,0
133.0836,34.26834,0,20.7,0,240,0
133.0847,34.26834,0,20.7,0,240,0
133.0858,34.26834,0,20.7,0,240,0
133.087,34.26834,0,20.7,0,240,0
133.0881,34.26834,0,20.7,0,240,0
133.0892,34.26834,0,20.7,0,240,0
133.0903,34.26834,0,20.7,0,240,0
133.0915,34.26834,0,20.7,0,240,0
133.0926,34.26834,0,20.7,0,240,0
133.0942,34.26834,0,20.7,0,240,0
133.0954,34.26834,0,20.7,0,240,0
133.0965,34.26834,0,20.7,0,240,0
133.0979,34.26834,0,20.7,0,240,0
133.0991,34.26834,0,20.7,0,240,0
133.1004,34.09513,0,20.6,0,240,0
133.1019,34.09513,0,20.6,0,240,0
133.1029,34.09513,0,20.6,0,240,0
133.104,34.09513,0,20.6,0,240,0
133.1051,34.09513,0,20.6,0,240,0
133.1062,34.09513,0,20.6,0,240,0
133.1073,34.09513,0,20.6,0,240,0
133.1084,34.09513,0,20.6,0,240,0
133.1094,34.09513,0,20.6,0,240,0
133.1105,34.09513,0,20.6,0,240,0
133.1118,34.09513,0,20.6,0,240,0
133.113,34.09513,0,20.6,0,240,0
133.1141,34.09513,0,20.6,0,240,0
133.1152,34.09513,0,20.6,0,240,0
133.1164,34.09513,0,20.6,0,240,0
133.1176,34.09513,0,20.6,0,240,0
133.1188,34.09513,0,20.6,0,240,0
133.1199,34.09513,0,20.6,0,240,0
133.121,33.92192,0,20.5,0,240,0
133.1224,33.92192,0,20.5,0,240,0
133.1236,33.92192,0,20.5,0,240,0
133.1252,33.92192,0,20.5,0,240,0
133.1262,33.92192,0,20.5,0,240,0
133.1272,33.92192,0,20.5,0,240,0
133.1283,33.92192,0,20.5,0,240,0
133.1295,33.92192,0,20.5,0,240,0
133.1308,33.92192,0,20.5,0,240,0
133.1319,33.92192,0,20.5,0,240,0
133.133,33.92192,0,20.5,0,240,0
133.1341,33.92192,0,20.5,0,240,0
133.1352,33.92192,0,20.5,0,240,0
133.1362,33.92192,0,20.5,0,240,0
133.1372,33.92192,0,20.5,0,240,0
133.1382,33.92192,0,20.5,0,240,0
133.1392,33.92192,0,20.5,0,240,0
133.1404,33.74872,0,20.4,0,240,0
133.1417,33.74872,0,20.4,0,240,0
133.1429,33.74872,0,20.4,0,240,0
133.144,33.74872,0,20.4,0,240,0
133.1451,33.74872,0,20.4,0,240,0
133.1468,33.74872,0,20.4,0,240,0
133.1479,33.74872,0,20.4,0,240,0
133.1491,33.74872,0,20.4,0,240,0
133.1502,33.74872,0,20.4,0,240,0
133.1513,33.74872,0,20.4,0,240,0
133.1525,33.74872,0,20.4,0,240,0
133.1536,33.74872,0,20.4,0,240,0
133.1549,33.74872,0,20.4,0,240,0
133.1565,33.74872,0,20.4,0,240,0
133.1576,33.74872,0,20.4,0,240,0
133.1588,33.74872,0,20.4,0,240,0
133.1599,33.74872,0,20.4,0,240,0
133.1611,33.57552,0,20.3,0,240,0
133.1626,33.57552,0,20.3,0,240,0
