time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.88074,-40.83572,0.000002,27.03685,0,303.9228,0
61.93295,-40.83572,0.000002,27.03685,0,303.9228,0
61.93502,-40.83572,0.000002,27.03685,0,303.9228,0
61.93603,-40.83572,0.000002,27.03685,0,303.9228,0
61.93711,-40.83572,0.000002,27.03685,0,303.9228,0
61.93837,-40.83572,0.000002,27.03685,0,303.9228,0
61.94724,-40.83572,0.000002,27.03685,0,303.9228,0
61.94865,-40.83572,0.000002,27.03685,0,303.9228,0
61.94962,-40.83572,0.000002,27.03685,0,303.9228,0
61.95062,-40.83572,0.000002,27.03685,0,303.9228,0
61.95159,-40.83572,0.000002,27.03685,0,303.9228,0
61.95254,-40.83572,0.000002,27.03685,0,303.9228,0
61.95349,-40.83572,0.000002,27.03685,0,303.9228,0
61.95443,-40.83572,0.000002,27.03685,0,303.9228,0
61.95537,-40.83572,0.000002,27.03685,0,303.9228,0
61.9563,-40.83572,0.000002,27.03685,0,303.9228,0
61.95736,-40.83572,0.000002,27.03685,0,303.9228,0
61.95853,-40.83572,0.000002,27.03685,0,303.9228,0
61.95953,-40.83572,0.000002,27.03685,0,303.9228,0
61.96048,-40.83572,0.000002,27.03685,0,303.9228,0
61.96166,-40.83572,0.000002,27.03685,0,303.9228,0
61.96269,-40.83572,0.000002,27.03685,0,303.9228,0
61.96363,-40.83572,0.000002,27.03685,0,303.9228,0
61.96458,-40.83572,0.000002,27.03685,0,303.9228,0
61.96555,-40.83572,0.000002,27.03685,0,303.9228,0
61.96649,-40.83572,0.000002,27.03685,0,303.9228,0
61.96746,-40.83572,0.000002,27.03685,0,303.9228,0
61.96839,-40.83572,0.000002,27.03685,0,303.9228,0
61.96933,-40.83572,0.000002,27.03685,0,303.9228,0
61.97027,-40.83572,0.000002,27.03685,0,303.9228,0
61.97123,-40.83572,0.000002,27.03685,0,303.9228,0
61.97218,-40.83572,0.000002,27.03685,0,303.9228,0
61.97311,-40.83572,0.000002,27.03685,0,303.9228,0
61.97414,-40.83572,0.000002,27.03685,0,303.9228,0
61.9751,-40.83572,0.000002,27.03685,0,303.9228,0
61.97606,-40.83572,0.000002,27.03685,0,303.9228,0
61.97701,-40.83572,0.000002,27.03685,0,303.9228,0
61.97803,-40.83572,0.000002,27.03685,0,303.9228,0
61.979,-40.83572,0.000002,27.03685,0,303.9228,0
61.97998,-40.83572,0.000002,27.03685,0,303.9228,0
61.98113,-40.83572,0.000002,27.03685,0,303.9228,0
61.98206,-40.83572,0.000002,27.03685,0,303.9228,0
61.98302,-40.83572,0.000002,27.03685,0,303.9228,0
61.98396,-40.83572,0.000002,27.03685,0,303.9228,0
61.98489,-40.83572,0.000002,27.03685,0,303.9228,0
61.98582,-40.83572,0.000002,27.03685,0,303.9228,0
61.98676,-40.83572,0.000002,27.03685,0,303.9228,0
61.98771,-40.83572,0.000002,27.03685,0,303.9228,0
61.98867,-40.83572,0.000002,27.03685,0,303.9228,0
61.9896,-40.83572,0.000002,27.03685,0,303.9228,0
61.99053,-40.83572,0.000002,27.03685,0,303.9228,0
61.99147,-40.83572,0.000002,27.03685,0,303.9228,0
61.99239,-40.83572,0.000002,27.03685,0,303.9228,0
61.99332,-40.83572,0.000002,27.03685,0,303.9228,0
61.99429,-40.83572,0.000002,27.03685,0,303.9228,0
61.99522,-40.83572,0.000002,27.03685,0,303.9228,0
61.99619,-40.83572,0.000002,27.03685,0,303.9228,0
61.99714,-40.83572,0.000002,27.03685,0,303.9228,0
61.99823,-40.83572,0.000002,27.03685,0,303.9228,0
61.99923,-40.83572,0.000002,27.03685,0,303.9228,0
62.00022,-40.83572,0.000002,27.03685,0,303.9228,0
62.00141,-40.83572,0.000002,27.03685,0,303.9228,0
62.00251,-40.83572,0.000002,27.03685,0,303.9228,0
62.00357,-40.83572,0.000002,27.03685,0,303.9228,0
62.00456,-40.83572,0.000002,27.03685,0,303.9228,0
62.0055,-40.83572,0.000002,27.03685,0,303.9228,0
62.00655,-40.83572,0.000002,27.03685,0,303.9228,0
62.00755,-40.83572,0.000002,27.03685,0,303.9228,0
62.00859,-40.83572,0.000002,27.03685,0,303.9228,0
