time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
163.8497,36.52,0,22,0,240,0
163.851,36.52,0,22,0,240,0
163.8577,36.52,0,22,0,240,0
163.8588,36.52,0,22,0,240,0
163.86,36.52,0,22,0,240,0
163.8613,36.52,0,22,0,240,0
163.8623,36.52,0,22,0,240,0
163.8634,36.52,0,22,0,240,0
163.8647,36.52,0,22,0,240,0
163.8658,36.52,0,22,0,240,0
163.8668,36.52,0,22,0,240,0
163.8679,36.52,0,22,0,240,0
163.869,36.52,0,22,0,240,0
163.8703,36.52,0,22,0,240,0
163.8716,36.52,0,22,0,240,0
163.8728,36.52,0,22,0,240,0
163.874,36.52,0,22,0,240,0
163.8751,36.52,0,22,0,240,0
163.8762,36.52,0,22,0,240,0
163.8774,36.52,0,22,0,240,0
163.8786,36.52,0,22,0,240,0
163.8797,36.52,0,22,0,240,0
163.8808,36.52,0,22,0,240,0
163.8822,36.52,0,22,0,240,0
163.8832,36.52,0,22,0,240,0
163.8842,36.52,0,22,0,240,0
163.8852,36.52,0,22,0,240,0
163.8862,36.52,0,22,0,240,0
163.8873,36.52,0,22,0,240,0
163.8883,36.52,0,22,0,240,0
163.8894,36.52,0,22,0,240,0
163.8905,36.52,0,22,0,240,0
163.8917,36.52,0,22,0,240,0
163.8929,36.52,0,22,0,240,0
163.8942,36.52,0,22,0,240,0
163.8954,36.52,0,22,0,240,0
163.8965,36.52,0,22,0,240,0
163.8977,36.52,0,22,0,240,0
163.8989,36.52,0,22,0,240,0
163.9001,36.52,0,22,0,240,0
163.9014,36.52,0,22,0,240,0
163.9025,36.52,0,22,0,240,0
163.9037,36.52,0,22,0,240,0
163.905,36.52,0,22,0,240,0
163.9062,36.52,0,22,0,240,0
163.9074,36.52,0,22,0,240,0
163.9086,36.52,0,22,0,240,0
163.9098,36.52,0,22,0,240,0
163.9111,36.52,0,22,0,240,0
163.9122,36.52,0,22,0,240,0
163.9133,36.52,0,22,0,240,0
163.9145,36.52,0,22,0,240,0
163.9156,36.52,0,22,0,240,0
163.9168,36.52,0,22,0,240,0
163.9179,36.52,0,22,0,240,0
163.9192,36.52,0,22,0,240,0
163.9203,36.52,0,22,0,240,0
163.9216,36.52,0,22,0,240,0
163.9226,36.52,0,22,0,240,0
163.9236,36.52,0,22,0,240,0
163.9247,36.52,0,22,0,240,0
163.926,36.52,0,22,0,240,0
