time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
125.4613,36.52,0,22,0,240,0
125.4624,36.52,0,22,0,240,0
125.4686,36.52,0,22,0,240,0
125.4695,36.52,0,22,0,240,0
125.4704,36.52,0,22,0,240,0
125.4714,36.52,0,22,0,240,0
125.4723,36.52,0,22,0,240,0
125.4732,36.52,0,22,0,240,0
125.474,36.52,0,22,0,240,0
125.475,36.52,0,22,0,240,0
125.4761,36.52,0,22,0,240,0
125.477,36.52,0,22,0,240,0
125.4779,36.52,0,22,0,240,0
125.4788,36.52,0,22,0,240,0
125.4797,36.52,0,22,0,240,0
125.4806,36.52,0,22,0,240,0
125.4818,36.52,0,22,0,240,0
125.4827,36.52,0,22,0,240,0
125.4835,36.52,0,22,0,240,0
125.4847,36.52,0,22,0,240,0
125.4857,36.52,0,22,0,240,0
125.4869,36.52,0,22,0,240,0
125.4879,36.52,0,22,0,240,0
125.4889,36.52,0,22,0,240,0
125.4902,36.52,0,22,0,240,0
125.4914,36.52,0,22,0,240,0
125.4923,36.52,0,22,0,240,0
125.4932,36.52,0,22,0,240,0
125.4942,36.52,0,22,0,240,0
125.4954,36.52,0,22,0,240,0
125.4964,36.52,0,22,0,240,0
125.4974,36.52,0,22,0,240,0
125.4983,36.52,0,22,0,240,0
125.4993,36.52,0,22,0,240,0
125.5002,36.52,0,22,0,240,0
125.5014,36.52,0,22,0,240,0
125.5024,36.52,0,22,0,240,0
125.5037,36.52,0,22,0,240,0
125.5047,36.52,0,22,0,240,0
125.5057,36.52,0,22,0,240,0
125.5067,36.52,0,22,0,240,0
125.5078,36.52,0,22,0,240,0
125.5089,36.52,0,22,0,240,0
125.5099,36.52,0,22,0,240,0
125.5109,36.52,0,22,0,240,0
125.5119,36.52,0,22,0,240,0
125.513,36.52,0,22,0,240,0
125.5141,36.52,0,22,0,240,0
125.5151,36.52,0,22,0,240,0
125.516,36.52,0,22,0,240,0
125.5169,36.52,0,22,0,240,0
125.5178,36.52,0,22,0,240,0
125.5187,36.52,0,22,0,240,0
125.5196,36.52,0,22,0,240,0
125.5206,36.52,0,22,0,240,0
125.5217,36.52,0,22,0,240,0
125.5226,36.52,0,22,0,240,0
125.5235,36.52,0,22,0,240,0
125.5244,36.52,0,22,0,240,0
125.5254,36.52,0,22,0,240,0
125.5263,36.52,0,22,0,240,0
125.5273,36.52,0,22,0,240,0
125.5282,36.52,0,22,0,240,0
125.5291,36.52,0,22,0,240,0
125.53,36.52,0,22,0,240,0
125.5309,36.52,0,22,0,240,0
125.5318,36.52,0,22,0,240,0
125.5327,36.52,0,22,0,240,0
125.5337,36.52,0,22,0,240,0
125.5345,36.52,0,22,0,240,0
125.5356,36.52,0,22,0,240,0
125.5367,36.52,0,22,0,240,0
125.5376,36.52,0,22,0,240,0
125.5385,36.52,0,22,0,240,0
125.5394,36.52,0,22,0,240,0
125.5404,36.52,0,22,0,240,0
125.5417,36.52,0,22,0,240,0
125.5426,36.52,0,22,0,240,0
125.5435,36.52,0,22,0,240,0
125.5445,36.52,0,22,0,240,0
125.5453,36.52,0,22,0,240,0
125.5463,36.52,0,22,0,240,0
125.5473,36.52,0,22,0,240,0
125.5483,36.52,0,22,0,240,0
125.5492,36.52,0,22,0,240,0
125.55,36.52,0,22,0,240,0
125.5509,36.52,0,22,0,240,0
125.5518,36.52,0,22,0,240,0
125.5527,36.52,0,22,0,240,0
125.5536,36.52,0,22,0,240,0
125.5546,36.52,0,22,0,240,0
125.5554,36.52,0,22,0,240,0
125.5564,36.52,0,22,0,240,0
125.5573,36.52,0,22,0,240,0
125.5583,36.52,0,22,0,240,0
125.5591,36.52,0,22,0,240,0
125.56,36.52,0,22,0,240,0
125.5611,36.52,0,22,0,240,0
125.562,36.52,0,22,0,240,0
125.5629,36.52,0,22,0,240,0
125.5638,36.52,0,22,0,240,0
125.5647,36.52,0,22,0,240,0
125.5656,36.52,0,22,0,240,0
125.5665,36.52,0,22,0,240,0
125.5674,36.52,0,22,0,240,0
125.5684,36.52,0,22,0,240,0
125.5693,36.52,0,22,0,240,0
125.5702,36.52,0,22,0,240,0
125.5711,36.52,0,22,0,240,0
125.5723,36.52,0,22,0,240,0
125.5734,36.52,0,22,0,240,0
125.5743,36.52,0,22,0,240,0
125.5753,36.52,0,22,0,240,0
125.5763,36.52,0,22,0,240,0
125.5775,36.52,0,22,0,240,0
125.5785,36.52,0,22,0,240,0
125.5795,36.52,0,22,0,240,0
125.5805,36.52,0,22,0,240,0
125.5817,36.52,0,22,0,240,0
125.5827,36.52,0,22,0,240,0
125.5838,36.52,0,22,0,240,0
125.5848,36.52,0,22,0,240,0
125.586,36.52,0,22,0,240,0
125.5871,36.52,0,22,0,240,0
125.588,36.52,0,22,0,240,0
125.589,36.52,0,22,0,240,0
125.5902,36.52,0,22,0,240,0
125.5912,36.52,0,22,0,240,0
125.5921,36.52,0,22,0,240,0
125.5932,36.52,0,22,0,240,0
125.5942,36.52,0,22,0,240,0
125.5952,36.52,0,22,0,240,0
125.5962,36.52,0,22,0,240,0
125.5971,36.52,0,22,0,240,0
125.5981,36.52,0,22,0,240,0
125.5991,36.52,0,22,0,240,0
125.6002,36.52,0,22,0,240,0
125.6013,36.52,0,22,0,240,0
125.6022,36.52,0,22,0,240,0
125.6032,36.52,0,22,0,240,0
125.6041,36.52,0,22,0,240,0
125.6052,36.52,0,22,0,240,0
125.6063,36.52,0,22,0,240,0
125.6072,36.52,0,22,0,240,0
125.6082,36.52,0,22,0,240,0
125.6092,36.52,0,22,0,240,0
125.6101,36.52,0,22,0,240,0
125.611,36.52,0,22,0,240,0
125.6204,36.52,0,22,0,240,0
125.6216,36.52,0,22,0,240,0
125.6226,36.52,0,22,0,240,0
125.6237,36.52,0,22,0,240,0
125.6247,36.52,0,22,0,240,0
125.6257,36.52,0,22,0,240,0
125.6267,36.52,0,22,0,240,0
125.6277,36.52,0,22,0,240,0
125.6288,36.52,0,22,0,240,0
125.6298,36.52,0,22,0,240,0
125.6309,36.52,0,22,0,240,0
125.6319,36.52,0,22,0,240,0
125.6329,36.52,0,22,0,240,0
125.6339,36.52,0,22,0,240,0
125.6351,36.52,0,22,0,240,0
125.6361,36.52,0,22,0,240,0
125.637,36.52,0,22,0,240,0
125.6379,36.52,0,22,0,240,0
125.6388,36.52,0,22,0,240,0
125.6397,36.52,0,22,0,240,0
125.6406,36.52,0,22,0,240,0
125.6417,36.52,0,22,0,240,0
125.6427,36.52,0,22,0,240,0
125.6436,36.52,0,22,0,240,0
125.6445,36.52,0,22,0,240,0
125.6454,36.52,0,22,0,240,0
125.6464,36.52,0,22,0,240,0
125.6473,36.52,0,22,0,240,0
125.6481,36.52,0,22,0,240,0
125.6491,36.52,0,22,0,240,0
125.65,36.52,0,22,0,240,0
125.6509,36.52,0,22,0,240,0
125.6518,36.52,0,22,0,240,0
125.6527,36.52,0,22,0,240,0
125.6536,36.52,0,22,0,240,0
125.6545,36.52,0,22,0,240,0
125.6554,36.52,0,22,0,240,0
125.6563,36.52,0,22,0,240,0
125.6573,36.52,0,22,0,240,0
