experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,environment,spawn
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,1,1,1,6.453465,19.17999,nature,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,2,1,2,19.17999,31.17999,nature,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,3,1,3,31.17999,50.51998,nature,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,4,1,4,50.51998,62.93998,nature,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,5,1,5,62.93998,75.25997,nature,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,6,1,6,75.25997,86.59997,nature,wrong
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,7,2,1,102.04,114.38,office,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,8,2,2,114.38,128.16,office,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,9,2,3,128.16,140.42,office,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,10,2,4,140.42,155.7,office,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,11,2,5,155.7,168.5799,office,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,12,2,6,168.5799,184.6999,office,wrong
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,13,3,1,203.1999,214.6599,stone,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,14,3,2,214.6599,226.3599,stone,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,15,3,3,226.3599,238.2799,stone,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,16,3,4,238.2799,249.6799,stone,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,17,3,5,249.6799,261.2199,stone,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,18,3,6,261.2199,278.7599,stone,wrong
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,19,4,1,278.7599,294.6599,ocean,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,20,4,2,294.6599,306.3999,ocean,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,21,4,3,306.3999,317.7599,ocean,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,22,4,4,317.7599,328.9999,ocean,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,23,4,5,328.9999,341.2199,ocean,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,24,4,6,341.2199,353.5999,ocean,wrong
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,25,5,1,353.5999,368.5999,shop,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,26,5,2,368.5999,380.5199,shop,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,27,5,3,380.5199,394.3399,shop,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,28,5,4,394.3399,407.1399,shop,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,29,5,5,407.1399,418.9998,shop,start
YMaze_Settings,tarot-7a53b72b-6873-4fcc-b004-869017528e5d,1,30,5,6,418.9998,431.9799,shop,wrong
