Environment	Cummulative_Time	X	Z	rotation
Nature_Env	20.0123	36.52	22	240
Nature_Env	21.01779	32.06574	19.33419	179.319
Nature_Env	22.0186	32.06574	19.33419	92.88795
Nature_Env	23.01974	32.06574	19.33419	304.8757
Nature_Env	24.02061	29.10472	17.66315	240.5619
Nature_Env	25.02131	20.39585	12.74833	240.5619
Nature_Env	26.02216	11.87183	8.070332	226.2737
Nature_Env	27.02243	3.718042	2.803617	263.4206
Nature_Env	28.02275	2.54599	2.827704	80.04807
Nature_Env	29.02367	2.54599	2.827704	110.7137
Nature_Env	30.02436	2.220477	1.261166	191.7385
Nature_Env	31.02463	2.198178	-8.32435	159.3462
Nature_Env	32.02572	0.5637427	-17.54338	177.3724
Nature_Env	33.02616	0.9029869	-24.9356	177.3724
Nature_Env	34.02727	0.9029869	-24.9356	208.9885
Nature_Env	35.02769	0.730612	-30.53295	181.7639
Nature_Env	36.02822	0.4227998	-40.5282	181.7639
Nature_Env	37.02896	0.3920186	-41.52773	181.7639
Nature_Env	38.03053	0.3920186	-41.52773	181.7639
Nature_Env	39.03166	0.3920186	-41.52773	323.0177
Nature_Env	40.0326	34.56656	21.57097	257.6129
Nature_Env	41.03325	29.42216	17.69827	275.5159
Nature_Env	42.034	22.91799	12.77102	264.523
Nature_Env	43.03503	14.19086	9.218362	261.6401
Nature_Env	44.03564	7.71532	6.264055	129.6055
Nature_Env	45.03623	2.690839	0.4318408	182.0816
Nature_Env	46.03707	2.327613	-9.561557	182.0816
Nature_Env	47.03757	1.964387	-19.55495	182.0816
Nature_Env	48.03864	1.60116	-29.54835	182.0816
Nature_Env	49.03919	1.237934	-39.54175	182.0816
Nature_Env	50.0396	1.165289	-41.54043	182.0816
Nature_Env	51.04017	1.165289	-41.54043	242.007
Nature_Env	52.04118	1.165289	-41.54043	38.23753
Nature_Env	53.04215	34.96529	19.6713	213.7282
Nature_Env	54.04291	25.89122	16.11508	253.8836
Nature_Env	55.04348	16.28423	13.33918	253.8836
Nature_Env	56.04399	14.41437	7.068912	244.7544
Nature_Env	57.04489	5.024015	3.966033	262.4845
Nature_Env	58.04569	-4.238935	5.12069	257.6398
Nature_Env	59.04612	-13.20998	9.251742	307.4607
Nature_Env	60.04722	-21.92859	12.98297	286.3677
Nature_Env	61.04838	-30.01036	18.10913	321.0696
Nature_Env	62.04873	-38.50323	23.16022	305.8607
Nature_Env	63.04968	-41.58292	25.38632	305.8607
Nature_Env	64.04985	-41.58292	25.38632	305.8607
Nature_Env	65.0504	-41.58292	25.38632	305.8607
Nature_Env	66.05114	36.52	22	240
Nature_Env	67.0525	36.52	22	240
Nature_Env	68.05289	36.52	22	240
Nature_Env	69.05356	36.52	22	351.2482
Nature_Env	70.0539	36.52	22	34.78098
