Environment	Cummulative_Time	X	Z	rotation
Nature_Env	276.0827	36.52	22	240
Nature_Env	277.0832	34.08252	21.20603	240.724
Nature_Env	278.084	33.66599	18.42925	129.6996
Nature_Env	279.0844	33.65611	19.01346	257.6996
Nature_Env	280.0847	33.90346	18.74729	355.6998
Nature_Env	281.0849	33.16683	18.48098	113.6999
Nature_Env	282.0854	32.77868	19.02184	231.7
Nature_Env	283.086	27.44328	15.21645	248.4591
Nature_Env	284.0869	18.14173	11.54479	248.4591
Nature_Env	285.0877	17.77666	8.970333	106.832
Nature_Env	286.0887	11.08988	6.956892	252.6129
Nature_Env	287.0896	1.539375	3.997341	265.3956
Nature_Env	288.0904	-7.148219	8.824143	303.0372
Nature_Env	289.0912	-15.79631	13.81711	303.0372
Nature_Env	290.0919	-24.44439	18.81009	303.0372
Nature_Env	291.0929	-33.09199	23.80418	298.4285
Nature_Env	292.0931	-42.99504	22.91738	263.4509
Nature_Env	293.0936	-47.7401	23.02344	325.2397
Nature_Env	294.0937	-47.32956	24.15103	20.00617
Nature_Env	295.0943	-47.32956	24.15103	20.00617
Nature_Env	296.0948	-47.32956	24.15103	20.00617
Nature_Env	297.0952	36.52	22	240
Nature_Env	298.0957	28.20616	17.2	240
Nature_Env	299.0962	18.49217	14.32645	247.1727
Nature_Env	300.0973	11.8173	7.894254	236.1013
Nature_Env	301.0974	3.206196	3.69805	282.1753
Nature_Env	302.0985	-4.158389	7.034257	346.7105
Nature_Env	303.0992	-13.41699	9.454745	270.6962
Nature_Env	304.0999	-22.34826	13.45195	312.2804
Nature_Env	305.1008	-30.38623	18.71637	272.7242
Nature_Env	306.1015	-38.68466	23.32326	289.0878
Nature_Env	307.1022	-41.32034	25.99594	286.972
Nature_Env	308.1033	-41.32034	25.99594	359.3466
Nature_Env	309.104	-41.32034	25.99594	95.16441
Nature_Env	310.1046	36.52	22	12.00001
Nature_Env	311.1057	36.52	22	40.29388
Nature_Env	312.1067	38.3552	20.68902	129.6268
Nature_Env	313.1071	36.64318	20.90651	107.7258
Nature_Env	314.1077	33.11831	22.44795	242.7464
Nature_Env	315.1078	25.31561	17.10464	230.2321
Nature_Env	316.1086	19.28575	11.0039	258.9577
Nature_Env	317.1096	10.82919	6.734715	219.8661
Nature_Env	318.1098	3.589967	6.258615	237.1293
Nature_Env	319.1099	-5.410326	3.083438	274.2708
Nature_Env	320.1106	-13.21999	8.865311	319.9765
Nature_Env	321.1115	-19.55474	11.83349	334.9461
Nature_Env	322.1119	-27.65722	16.52351	310.7811
Nature_Env	323.1121	-35.26076	22.44102	319.5024
Nature_Env	324.1126	-41.2519	25.98367	243.5749
Nature_Env	325.1129	-41.2519	25.98367	144.994
Nature_Env	326.1136	-41.2519	25.98367	254.9941
Nature_Env	327.1141	36.52	22	92.00002
Nature_Env	328.1147	36.52	22	238.1515
Nature_Env	329.115	31.08355	18.62288	238.1515
Nature_Env	330.1163	22.4192	13.2406	238.1515
Nature_Env	331.1164	13.92474	7.963847	238.1515
Nature_Env	332.1174	5.430283	2.687098	238.1515
Nature_Env	333.1176	-3.388741	4.298058	297.821
Nature_Env	334.118	-12.23284	8.965168	297.821
Nature_Env	335.1185	-21.07693	13.63228	297.821
Nature_Env	336.1197	-29.24015	18.98683	285.7519
Nature_Env	337.1199	-38.84206	21.76098	300.5611
Nature_Env	338.1206	-42.58537	24.43449	176.396
Nature_Env	339.1213	-42.58537	24.43449	64.39587
Nature_Env	340.122	-42.58537	24.43449	304.3958
Nature_Env	341.1232	36.52	22	81.99994
Nature_Env	342.124	36.52	22	333.1377
Nature_Env	343.1246	36.52	22	353.7575
Nature_Env	344.1254	36.52	22	228.0916
Nature_Env	345.1267	29.76654	19.05854	295.5534
Nature_Env	346.1277	20.85695	16.44837	244.0621
Nature_Env	347.1284	13.66701	12.12064	251.1478
Nature_Env	348.1285	8.568095	5.572219	247.0047
Nature_Env	349.1295	-0.6538653	2.201928	322.9175
Nature_Env	350.1301	2.573037	2.805643	264.576
Nature_Env	351.1304	-4.592088	3.942458	314.0873
Nature_Env	352.1308	-11.09568	11.09232	290.1641
Nature_Env	353.1318	-20.26427	10.66255	278.1303
Nature_Env	354.1331	-28.06889	16.66222	309.7042
Nature_Env	355.1336	-35.76242	23.05045	309.7042
Nature_Env	356.1345	-40.82559	26.95554	304.6908
Nature_Env	357.1346	-40.82559	26.95554	304.6908
Nature_Env	358.135	-40.82559	26.95554	102.2739
Nature_Env	359.1352	0	-34	0
Nature_Env	360.1361	0	-27.4	0
Nature_Env	361.1365	0	-17.40001	0
Nature_Env	362.1371	0	-7.40001	0
Nature_Env	363.1377	-0.2500462	2.552249	333.5874
Nature_Env	364.1468	-8.226441	6.224937	304.5746
Nature_Env	365.147	-16.46032	11.89972	304.5746
Nature_Env	366.1471	-24.93568	16.72829	311.7215
Nature_Env	367.1475	-33.91745	20.49918	283.7184
Nature_Env	368.1479	-40.6878	25.14236	267.3571
Office_Env	369.149	-41.88587	25.12609	327.4387
Office_Env	370.1496	-41.88587	25.12609	327.4387
Office_Env	371.1504	-41.88587	25.12609	327.4387
Office_Env	372.1512	-41.88587	25.12609	327.4387
Office_Env	373.1522	-41.88587	25.12609	327.4387
Office_Env	374.1525	33.40231	20.2	240
Office_Env	375.1527	25.03416	17.24147	239.7089
Office_Env	376.1534	28.33582	15.64764	202.766
Office_Env	377.1546	19.30404	12.50811	264.8224
Office_Env	378.1553	11.55194	8.003869	210.6192
Office_Env	379.1558	3.253562	4.046209	282.2076
Office_Env	380.1567	-6.687618	6.119801	282.2076
Office_Env	381.1573	-14.84756	11.43777	299.5421
Office_Env	382.158	-23.54749	16.3684	299.5421
Office_Env	383.159	-32.24742	21.29903	299.5421
